Timestamp,Temperature,WaterColor_R,WaterColor_G,WaterColor_B,Ph,Salinity,Turbidity,GPS_Lat,GPS_Lon,Altitude,Battery,UserID,BoaID,BoaKey
2025-03-23T08:04:11.771362,22.54,237,null,null,null,30.82,null,41.329901,19.433019,null,99,User264,Boa69,Key5186
2025-03-22T03:33:59.771478,null,null,114,null,null,null,1.13,40.608555,13.68451,13.8,null,User665,Boa44,Key2230
2025-03-21T13:15:51.771521,null,114,null,null,6.91,null,1.36,41.057497,11.736358,null,90,User881,Boa48,Key3060
2025-03-20T07:59:14.771558,22.25,null,null,null,6.14,null,null,48.166412,16.102988,14.04,null,User215,Boa100,Key5289
2025-03-21T17:27:15.771595,null,null,null,null,7.62,null,1.17,45.715376,15.366106,null,null,User271,Boa23,Key2262
2025-03-28T11:45:38.771629,null,null,null,null,null,37.75,1.89,49.779338,11.154043,10.46,null,User126,Boa7,Key8266
2025-03-28T06:55:23.771661,20.43,208,97,43,6.66,null,null,42.288622,14.633272,null,57,User671,Boa51,Key9096
2025-03-22T05:47:42.771695,null,null,42,null,null,30.48,null,48.093007,10.105377,18.81,78,User427,Boa79,Key1988
2025-03-26T09:02:08.771730,null,162,253,null,7.12,31.66,1.11,40.14384,13.962189,16.67,88,User495,Boa12,Key5554
2025-03-28T19:17:40.771767,null,123,null,80,null,null,null,44.656172,12.042312,null,73,User422,Boa91,Key9764
2025-03-29T04:51:23.771801,null,137,69,157,null,null,1.75,41.277487,19.085501,null,79,User882,Boa95,Key1064
2025-03-27T02:43:05.771833,null,173,null,218,6.94,null,1.19,49.198848,10.431224,10.85,80,User518,Boa49,Key7599
2025-03-27T11:59:41.771867,28.09,null,null,24,null,null,1.34,43.324378,14.476351,16.11,null,User244,Boa33,Key7794
2025-03-29T01:55:31.771901,null,169,46,62,6.61,32.66,1.95,41.086257,13.357397,19.97,null,User850,Boa59,Key8887
2025-03-25T17:31:26.771939,26.39,null,null,90,null,30.56,1.63,41.572044,11.745685,11.59,null,User683,Boa36,Key4486
2025-03-25T03:16:28.771976,27.2,null,null,72,6.67,36.82,1.29,46.548211,13.567351,12.23,96,User241,Boa91,Key5302
2025-03-29T07:33:22.772010,null,null,null,null,null,39.68,1.78,49.084852,18.463149,10.42,81,User677,Boa98,Key5900
2025-03-25T07:33:55.772043,null,null,null,1,7.15,null,null,43.449197,12.510938,18.2,96,User443,Boa77,Key6745
2025-03-29T16:54:28.772076,22.12,194,null,67,6.5,null,1.37,41.161224,19.147211,19.86,90,User851,Boa59,Key5188
2025-03-31T18:15:50.772112,25.7,64,null,null,7.29,null,null,49.624577,17.799697,null,98,User209,Boa22,Key3457
